symbol,name,sector,price,pe,pb,div_yield,roe,debt,profit_margin,yoy,eps_growth,market,last_updated
AMD,"Advanced Micro Devices, Inc.",Technology,278.3900146484375,106.25574,7.202846,0.0,7.081999999999999,6.359,12.515001,34.1,217.1,USA,2026-04-19 13:14:13
ORCL,Oracle Corporation,Technology,175.05999755859375,31.429083,15.006,1.14,57.572,415.265,25.298,21.7,24.5,USA,2026-04-19 13:14:13
IBM,International Business Machines,Technology,253.47000122070312,22.773584,7.2742143,2.65,35.158001999999996,197.328,15.685001000000002,12.2,89.9,USA,2026-04-19 13:14:13
QCOM,QUALCOMM Incorporated,Technology,136.1999969482422,27.459677,6.3398967,2.7,21.48,64.218,11.958,5.0,-1.7999999999999998,USA,2026-04-19 13:14:13
TXN,Texas Instruments Incorporated,Technology,229.82000732421875,42.16881,12.809052,2.47,30.148000000000003,90.819,28.283,10.4,-3.2,USA,2026-04-19 13:14:13
AVGO,Broadcom Inc.,Technology,406.5400085449219,79.40234,24.105545,0.0,33.370999,82.704,36.571997,29.5,31.6,USA,2026-04-19 13:14:13
COST,Costco Wholesale Corporation,Consumer Defensive,999.8900146484375,52.077602,26.822523,0.0,29.650998,60.257,2.9860001,21.5,45.5,USA,2026-04-19 13:14:13
NKE,"Nike, Inc.",Consumer Cyclical,46.029998779296875,30.282894,4.836608,3.56,16.016,79.333,4.836,0.1,-34.8,USA,2026-04-19 13:14:13
MCD,McDonald's Corporation,Consumer Cyclical,311.3599853515625,26.033443,-123.6046,2.39,0.0,54829998080.0,31.85,9.700000000000001,8.200000000000001,USA,2026-04-19 13:14:13
BA,Boeing Company (The),Industrials,223.3800048828125,90.07258,32.173412,0.9199570037963222,100.0,1032.894,2.4979999999999998,57.099999999999994,0.0,USA,2026-04-19 13:14:13
CAT,"Caterpillar, Inc.",Industrials,794.6500244140625,42.201275,17.344,0.0,43.525999999999996,206.67,13.144,18.0,-11.4,USA,2026-04-19 13:14:13
GE,GE Aerospace,Industrials,304.1300048828125,37.73325,17.07732,0.0,44.692,114.07,18.982,17.599999999999998,37.4,USA,2026-04-19 13:14:13
JPM,JP Morgan Chase & Co.,Financial Services,310.2900085449219,14.860633,2.4169652,1.93,16.465001,1311809994752.0,33.936,12.7,17.2,USA,2026-04-19 13:14:13
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,925.9500122070312,16.9216,2.597532,1.94,14.591000000000001,608.943,29.363,14.499999999999998,24.3,USA,2026-04-19 13:14:13
